Row,name,ra,dec,time,obsid,exposure,processing_status,processing_date,public_date,obs_type,_offset
1,PSR_B0531+21,83.63346,22.01399,2018-12-27T08:56:43.00,1013010148,15476,VALIDATED,2019-01-02T22:42:46,1/10/19,CAL,0.0357
2,PSR_B0531+21,83.63326,22.01412,2018-12-26T00:31:03.00,1013010147,24069.65494,VALIDATED,2019-01-02T18:40:32,1/9/19,CAL,0.0236
3,PSR_B0531+21,83.63347,22.01416,2018-01-03T09:10:14.00,1013010123,10481,VALIDATED,2018-03-04T11:41:04,3/4/18,CAL,0.0281
4,PSR_B0531+21,83.63336,22.01418,2018-03-14T00:23:56.00,1013010126,19892,VALIDATED,2018-04-16T19:31:15,4/30/18,CAL,0.0231
5,PSR_B0531+21,83.63337,22.0142,2018-12-28T08:37:20.00,1013010149,10740,VALIDATED,2019-01-03T01:09:46,1/11/19,CAL,0.0225
6,PSR_B0531+21,83.6328,22.01421,2019-02-18T23:52:45.00,1013010152,12961,VALIDATED,2019-02-25T19:21:02,3/5/19,CAL,0.0238
7,PSR_B0531+21,83.63326,22.01426,2018-03-13T02:56:24.00,1013010125,20543,VALIDATED,2018-04-16T17:20:30,4/30/18,CAL,0.016
8,PSR_B0531+21,83.6334,22.0143,2018-12-29T08:47:40.00,1013010150,15921.28223,VALIDATED,2019-01-03T03:26:11,1/12/19,CAL,0.0198
9,PSR_B0531+21,83.633,22.01445,2018-11-29T10:18:35.00,1013010146,14961,VALIDATED,2018-12-03T15:54:47,12/13/18,CAL,0.0063
10,PSR_B0531+21,83.63336,22.01547,2018-11-08T12:23:35.00,1013010143,11822,VALIDATED,2018-11-13T01:15:09,11/22/18,CAL,0.0607
11,PSR_B0531+21,83.63381,22.01551,2018-11-21T10:53:20.00,1013010145,11306.62774,VALIDATED,2018-11-26T23:34:05,12/5/18,CAL,0.0728
12,PSR_B0531+21,83.63467,22.01693,2018-11-09T11:32:24.00,1013010144,11411,VALIDATED,2018-11-13T20:39:43,11/23/18,CAL,0.1705
13,PSR_B0531+21,83.63449,22.01708,2019-11-06T23:42:20.00,2013010110,14004,VALIDATED,2019-11-22T18:25:41,11/21/19,CAL,0.1736
